Time,nsteps,dt,dt CFL,dt Viscous,dt Capillary,dt Conduction,dt Interface,dt Surfactant,MIN_X_VELOCITY,MIN_Y_VELOCITY,MIN_Z_VELOCITY,MIN_VELOCITY_MAGNITUDE,MAX_X_VELOCITY,MAX_Y_VELOCITY,MAX_Z_VELOCITY,MAX_VELOCITY_MAGNITUDE,Kinetic Energy,Max(div(V)),FLUID_VOLUME,SOLID_VOLUME,1_TOTAL_VOLUME,2_TOTAL_VOLUME,1_WEST_MASS_FLUX,1_EAST_MASS_FLUX,1_FRONT_MASS_FLUX,1_BACK_MASS_FLUX,1_SOUTH_MASS_FLUX,1_NORTH_MASS_FLUX,2_WEST_MASS_FLUX,2_EAST_MASS_FLUX,2_FRONT_MASS_FLUX,2_BACK_MASS_FLUX,2_SOUTH_MASS_FLUX,2_NORTH_MASS_FLUX,1_CENTROID_X,1_CENTROID_Y,1_CENTROID_Z,2_CENTROID_X,2_CENTROID_Y,2_CENTROID_Z,RMIN_TO_CENTER,RMAX_TO_CENTER,(RMAX-RMIN)_TO_CENTER,RMIN_TO_AXIS,RMAX_TO_AXIS,(RMAX-RMIN)_TO_AXIS,INTERFACE_SURFACE_AREA,ptx(WEST) ,pty(WEST),ptz(WEST),ptx(FRONT) ,pty(FRONT),ptz(FRONT),ptx(SOUTH) ,pty(SOUTH),ptz(SOUTH),ptx(EAST) ,pty(EAST),ptz(EAST),ptx(BACK) ,pty(BACK),ptz(BACK),ptx(NORTH) ,pty(NORTH),ptz(NORTH),PRESSURE_ITERATION,PRESSURE_GMRES_COMP,PRESSURE_MG_RATE,PRESSURE_GAMMA,PRESSURE_RESIDUAL,PT_MVT_GLOBAL,INT_HO_RESIDUAL,TOTAL_ELEMENTS
  2.90000000E-01,      29,  1.00000000E-02,  1.76638401E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  3.58268125E-03,  0.00000000E+00,  0.00000000E+00, -8.94782006E-03, -8.94782006E-03,  0.00000000E+00,  4.42287745E-02,  8.94890863E-03,  8.94890862E-03,  4.42068910E-02,  7.09674739E-04,  5.98505419E-08,  2.75830078E-03,  7.41699219E-04,  2.08003039E-04,  2.55029774E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  9.22977282E+00,  3.06521669E-01,  3.06521669E-01,  4.30920348E-03,  2.03900932E-03,  2.03900932E-03,  9.49790437E-02,  1.14277835E-01,  1.92987912E-02,  8.00022519E-02,  9.23934860E-02,  1.23912341E-02,  2.68853246E-04,  9.99701034E-02,  9.99999968E-02,  9.99999968E-02,  4.06250000E-02,  0.00000000E+00,  7.81250000E-04,  4.60937500E-02,  7.81250000E-04,  0.00000000E+00,  1.10865834E-01,  9.99999970E-02,  9.99999969E-02,  2.50000000E-02,  5.00000000E-02,  7.81250000E-04,  2.50000000E-02,  7.81250000E-04,  5.00000000E-02,       7,       0,  4.62284085E-02,  2.21401964E-01,  1.98250568E-07,  4.37489036E-04,  2.65185083E-06,   63872
  5.90000000E-01,      59,  1.00000000E-02,  1.62180883E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  3.34004199E-03,  0.00000000E+00,  0.00000000E+00, -8.33312288E-03, -8.33312288E-03,  0.00000000E+00,  4.81715222E-02,  8.33197861E-03,  8.33197859E-03,  4.79558486E-02,  7.11576171E-04,  1.47772241E-07,  2.75830078E-03,  7.41699219E-04,  2.19773412E-04,  2.53852737E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  8.72946112E+00,  2.88766406E-01,  2.88766406E-01,  4.84812353E-03,  2.16438132E-03,  2.16438132E-03,  9.49589213E-02,  1.22446720E-01,  2.74877983E-02,  8.00024224E-02,  1.04778266E-01,  2.47758436E-02,  2.69102824E-04,  9.99498509E-02,  9.99999608E-02,  9.99999608E-02,  4.60937500E-02,  0.00000000E+00,  0.00000000E+00,  4.06250000E-02,  0.00000000E+00,  0.00000000E+00,  1.24599678E-01,  9.99999607E-02,  9.99999607E-02,  2.50000000E-02,  5.00000000E-02,  0.00000000E+00,  2.50000000E-02,  0.00000000E+00,  5.00000000E-02,       6,       0,  2.71756081E-02,  2.20084482E-01,  3.37773244E-07,  4.69253019E-04,  1.45534444E-06,   72260
  8.90000000E-01,      89,  1.00000000E-02,  1.48845346E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  3.29796754E-03,  0.00000000E+00,  0.00000000E+00, -8.02261405E-03, -8.02261408E-03,  0.00000000E+00,  5.24873650E-02,  8.02161877E-03,  8.02161876E-03,  5.24695069E-02,  7.15074775E-04,  3.47885150E-07,  2.75830078E-03,  7.41699219E-04,  2.31555068E-04,  2.52674571E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  8.27911560E+00,  2.72801794E-01,  2.72801794E-01,  5.43757671E-03,  2.29104241E-03,  2.29104241E-03,  9.49547769E-02,  1.36257670E-01,  4.13028927E-02,  8.00061128E-02,  1.18394131E-01,  3.83880185E-02,  2.69459614E-04,  9.99461739E-02,  9.99999977E-02,  9.99999977E-02,  4.06250000E-02,  0.00000000E+00,  0.00000000E+00,  4.60937500E-02,  0.00000000E+00,  0.00000000E+00,  1.38799673E-01,  9.99999987E-02,  9.99999986E-02,  2.50000000E-02,  5.00000000E-02,  0.00000000E+00,  2.50000000E-02,  0.00000000E+00,  5.00000000E-02,       5,       0,  1.49131453E-02,  1.99061839E-01,  1.20144688E-06,  4.76512528E-04,  1.15903457E-06,   85596
  1.19000000E+00,     119,  1.00000000E-02,  1.37102155E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  3.26741757E-03,  0.00000000E+00,  0.00000000E+00, -8.97933667E-03, -8.97933695E-03,  0.00000000E+00,  5.69830575E-02,  8.97892930E-03,  8.97893125E-03,  5.69764794E-02,  7.20671388E-04,  6.51111704E-07,  2.75830078E-03,  7.41699219E-04,  2.43341876E-04,  2.51495890E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  7.87167658E+00,  2.58377105E-01,  2.58377105E-01,  6.08439322E-03,  2.41894612E-03,  2.41894612E-03,  9.49525017E-02,  1.50359498E-01,  5.54069968E-02,  8.00085091E-02,  1.32441278E-01,  5.24327690E-02,  2.69884251E-04,  9.99438969E-02,  9.99999919E-02,  9.99999921E-02,  4.60937500E-02,  0.00000000E+00,  1.56250000E-03,  9.37500000E-03,  1.56250000E-03,  0.00000000E+00,  1.53159070E-01,  9.99999910E-02,  9.99999908E-02,  2.50000000E-02,  5.00000000E-02,  1.56250000E-03,  2.50000000E-02,  1.56250000E-03,  5.00000000E-02,       5,       0,  1.41695417E-02,  1.84474875E-01,  1.15068138E-06,  4.80935076E-04,  1.56843786E-06,  103764
  1.49000000E+00,     149,  1.00000000E-02,  1.29850130E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  3.24160371E-03,  0.00000000E+00,  0.00000000E+00, -1.04488605E-02, -1.04488567E-02,  0.00000000E+00,  6.01655155E-02,  1.04492419E-02,  1.04492408E-02,  6.01646858E-02,  7.28411184E-04,  8.96664976E-07,  2.75830078E-03,  7.41699219E-04,  2.55130057E-04,  2.50317072E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  7.50127498E+00,  2.45283785E-01,  2.45283785E-01,  6.79531513E-03,  2.54806973E-03,  2.54806973E-03,  9.49506494E-02,  1.64654621E-01,  6.97039718E-02,  8.00107212E-02,  1.46847005E-01,  6.68362841E-02,  2.70349715E-04,  9.99420004E-02,  9.99999445E-02,  9.99999446E-02,  4.06250000E-02,  0.00000000E+00,  1.56250000E-03,  4.60937500E-02,  1.56250000E-03,  0.00000000E+00,  1.67660619E-01,  9.99999441E-02,  9.99999438E-02,  2.50000000E-02,  5.00000000E-02,  1.56250000E-03,  2.50000000E-02,  1.56250000E-03,  5.00000000E-02,       5,       0,  1.36066370E-02,  1.73998835E-01,  1.10138537E-06,  4.85543325E-04,  1.35532793E-06,  120972
  1.79000000E+00,     179,  1.00000000E-02,  1.23038625E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  3.21889030E-03,  0.00000000E+00,  0.00000000E+00, -1.13066947E-02, -1.13067041E-02,  0.00000000E+00,  6.34963207E-02,  1.13061006E-02,  1.13060903E-02,  6.34947447E-02,  7.38024081E-04,  1.08597703E-06,  2.75830078E-03,  7.41699219E-04,  2.66919816E-04,  2.49138097E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  7.16295841E+00,  2.33345443E-01,  2.33345443E-01,  7.57612296E-03,  2.67843295E-03,  2.67843294E-03,  9.49505111E-02,  1.79091806E-01,  8.41412952E-02,  8.00137806E-02,  1.61259283E-01,  8.12455020E-02,  2.70838182E-04,  9.99419271E-02,  9.99998825E-02,  9.99998826E-02,  4.60937500E-02,  0.00000000E+00,  1.56250000E-03,  9.37500000E-03,  1.56250000E-03,  0.00000000E+00,  1.82263233E-01,  9.99998815E-02,  9.99998809E-02,  2.50000000E-02,  5.00000000E-02,  1.56250000E-03,  2.50000000E-02,  1.56250000E-03,  5.00000000E-02,       5,       0,  1.32718168E-02,  1.71140189E-01,  1.04567265E-06,  4.87666614E-04,  1.58883579E-06,  137572
  2.09000000E+00,     209,  1.00000000E-02,  1.16336563E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  3.21182146E-03,  0.00000000E+00,  0.00000000E+00, -1.15033684E-02, -1.15033857E-02,  0.00000000E+00,  6.71542964E-02,  1.15019974E-02,  1.15020017E-02,  6.71539541E-02,  7.49063241E-04,  1.28242835E-06,  2.75830078E-03,  7.41699219E-04,  2.78709942E-04,  2.47959084E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  6.85266235E+00,  2.22416787E-01,  2.22416787E-01,  8.43099546E-03,  2.81004009E-03,  2.81004008E-03,  9.49495972E-02,  1.93618894E-01,  9.86692973E-02,  8.00165200E-02,  1.75958969E-01,  9.59424487E-02,  2.71338216E-04,  9.99410181E-02,  9.99998200E-02,  9.99998200E-02,  4.60937500E-02,  0.00000000E+00,  1.56250000E-03,  9.37500000E-03,  1.56250000E-03,  0.00000000E+00,  1.96933324E-01,  9.99998184E-02,  9.99998180E-02,  2.50000000E-02,  5.00000000E-02,  1.56250000E-03,  2.50000000E-02,  1.56250000E-03,  5.00000000E-02,       5,       0,  1.34877393E-02,  1.69377942E-01,  1.06595955E-06,  4.89499110E-04,  1.67288037E-06,  154136
  2.39000000E+00,     239,  1.00000000E-02,  1.10460524E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  3.20992665E-03,  0.00000000E+00,  0.00000000E+00, -1.15049924E-02, -1.15049708E-02,  0.00000000E+00,  7.07266243E-02,  1.15031589E-02,  1.15031060E-02,  7.07233389E-02,  7.61069830E-04,  1.47788433E-06,  2.75830078E-03,  7.41699219E-04,  2.90499538E-04,  2.46780124E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  6.56698147E+00,  2.12375657E-01,  2.12375657E-01,  9.36277233E-03,  2.94289879E-03,  2.94289878E-03,  9.49487990E-02,  2.08195250E-01,  1.13246451E-01,  8.00189546E-02,  1.90674153E-01,  1.10655198E-01,  2.71843224E-04,  9.99402236E-02,  9.99999923E-02,  9.99999923E-02,  4.60937500E-02,  0.00000000E+00,  7.81250000E-04,  9.37500000E-03,  7.81250000E-04,  0.00000000E+00,  2.11635075E-01,  9.99999915E-02,  9.99999913E-02,  2.50000000E-02,  5.00000000E-02,  7.81250000E-04,  2.50000000E-02,  7.81250000E-04,  5.00000000E-02,       5,       0,  1.36611225E-02,  1.68380338E-01,  1.13940747E-06,  4.90735261E-04,  1.37170003E-06,  174812
  2.69000000E+00,     269,  1.00000000E-02,  1.05427445E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  3.20789754E-03,  0.00000000E+00,  0.00000000E+00, -1.13717880E-02, -1.13718115E-02,  0.00000000E+00,  7.41030953E-02,  1.13695223E-02,  1.13695071E-02,  7.40987775E-02,  7.73678049E-04,  1.59563020E-06,  2.75830078E-03,  7.41699219E-04,  3.02289867E-04,  2.45601091E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  6.30300031E+00,  2.03117203E-01,  2.03117203E-01,  1.03734976E-02,  3.07704142E-03,  3.07704141E-03,  9.49480724E-02,  2.22807142E-01,  1.27859069E-01,  8.00193715E-02,  2.05345990E-01,  1.25326618E-01,  2.72349661E-04,  9.99395092E-02,  9.99999612E-02,  9.99999612E-02,  4.60937500E-02,  0.00000000E+00,  7.81250000E-04,  9.37500000E-03,  7.81250000E-04,  0.00000000E+00,  2.26346963E-01,  9.99999599E-02,  9.99999597E-02,  2.50000000E-02,  5.00000000E-02,  7.81250000E-04,  2.50000000E-02,  7.81250000E-04,  5.00000000E-02,       5,       0,  1.34426857E-02,  1.69786358E-01,  1.06214351E-06,  4.91110490E-04,  4.10640067E-06,  191940
  2.99000000E+00,     299,  1.00000000E-02,  1.01506433E-02,  2.54313151E-05,  4.62184107E+03,  0.00000000E+00,  3.20535347E-03,  0.00000000E+00,  0.00000000E+00, -1.13514060E-02, -1.13514131E-02,  0.00000000E+00,  7.69655652E-02,  1.13510733E-02,  1.13510703E-02,  7.69617690E-02,  7.86671971E-04,  1.65970245E-06,  2.75830078E-03,  7.41699219E-04,  3.14079568E-04,  2.44422121E-03, -3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  3.92700672E-02,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  6.05830218E+00,  1.94554298E-01,  1.94554298E-01,  1.14644350E-02,  3.21247092E-03,  3.21247089E-03,  9.49474573E-02,  2.37430667E-01,  1.42483210E-01,  8.00192089E-02,  2.20026411E-01,  1.40007202E-01,  2.72855962E-04,  9.99388908E-02,  9.99999279E-02,  9.99999279E-02,  4.60937500E-02,  0.00000000E+00,  7.81250000E-04,  9.37500000E-03,  7.81250000E-04,  0.00000000E+00,  2.41072013E-01,  9.99999263E-02,  9.99999261E-02,  2.50000000E-02,  5.00000000E-02,  7.81250000E-04,  2.50000000E-02,  7.81250000E-04,  5.00000000E-02,       5,       0,  1.31479319E-02,  1.65453147E-01,  9.73655318E-07,  4.90835035E-04,  1.27411727E-06,  208620
