Time,nsteps,dt,dt CFL,dt Viscous,dt Capillary,dt Conduction,dt Interface,dt Surfactant,MIN_X_VELOCITY,MIN_Y_VELOCITY,MIN_Z_VELOCITY,MIN_VELOCITY_MAGNITUDE,MAX_X_VELOCITY,MAX_Y_VELOCITY,MAX_Z_VELOCITY,MAX_VELOCITY_MAGNITUDE,Kinetic Energy,Max(div(V)),FLUID_VOLUME,SOLID_VOLUME,1_TOTAL_VOLUME,2_TOTAL_VOLUME,1_WEST_MASS_FLUX,1_EAST_MASS_FLUX,1_FRONT_MASS_FLUX,1_BACK_MASS_FLUX,1_SOUTH_MASS_FLUX,1_NORTH_MASS_FLUX,2_WEST_MASS_FLUX,2_EAST_MASS_FLUX,2_FRONT_MASS_FLUX,2_BACK_MASS_FLUX,2_SOUTH_MASS_FLUX,2_NORTH_MASS_FLUX,1_CENTROID_X,1_CENTROID_Y,1_CENTROID_Z,2_CENTROID_X,2_CENTROID_Y,2_CENTROID_Z,RMIN_TO_CENTER,RMAX_TO_CENTER,(RMAX-RMIN)_TO_CENTER,RMIN_TO_AXIS,RMAX_TO_AXIS,(RMAX-RMIN)_TO_AXIS,INTERFACE_SURFACE_AREA,ptx(WEST) ,pty(WEST),ptz(WEST),ptx(FRONT) ,pty(FRONT),ptz(FRONT),ptx(SOUTH) ,pty(SOUTH),ptz(SOUTH),ptx(EAST) ,pty(EAST),ptz(EAST),ptx(BACK) ,pty(BACK),ptz(BACK),ptx(NORTH) ,pty(NORTH),ptz(NORTH),PRESSURE_ITERATION,PRESSURE_GMRES_COMP,PRESSURE_MG_RATE,PRESSURE_GAMMA,PRESSURE_RESIDUAL,PT_MVT_GLOBAL,INT_HO_RESIDUAL,TOTAL_ELEMENTS
  5.71936759E-04,      29,  2.00651675E-05,  2.11212289E-05,  2.61526077E-04,  1.02602089E-04,  0.00000000E+00,  2.24766055E-05,  0.00000000E+00, -1.40483978E+00, -1.86904822E-02, -4.80118191E-02,  8.26206019E-03,  7.39777030E+00,  1.86904822E-02,  4.39970110E-02,  7.39777030E+00,  1.48998695E+01,  6.92259905E-09,  4.00000000E-02,  0.00000000E+00,  1.26000000E-02,  2.74000000E-02, -7.89041062E+00,  7.89029949E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00, -1.92229107E-01,  1.92200202E-01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  2.17460321E+00,  2.17460318E-01,  1.42978681E-01,  4.59853997E-01,  4.59854014E-02,  7.24338039E-03,  2.15016664E-02,  2.01370295E+00,  1.99220128E+00,  1.41421356E+00,  0.00000000E+00,  1.41421356E+00,  4.54953655E-04,  2.30576911E-05,  2.30576911E-05,  1.99642903E+00,  2.00000000E-01,  0.00000000E+00,  7.81059927E-04,  3.15011422E-02,  3.15011422E-02,  3.14922470E-02,  1.99926615E+00,  2.30576911E-05,  2.27990440E-03,  1.00781250E-01,  2.00000000E-01,  1.99218590E-01,  3.14999998E-02,  3.15011422E-02,  3.15073982E-02,       6,       0,  2.26069686E-02,  6.55625965E-02,  2.02653437E-05,  6.97410646E-05,  3.05040913E-07, 1575840
  1.17375402E-03,      59,  2.00562815E-05,  2.11118752E-05,  2.73272644E-04,  1.02602089E-04,  0.00000000E+00,  2.24952185E-05,  0.00000000E+00, -1.22241873E+00, -2.85377799E-02, -6.07084440E-02,  4.09726132E-02,  7.40104791E+00,  2.85377799E-02,  5.29298030E-02,  7.40104791E+00,  1.48834026E+01,  1.17716787E-08,  4.00000000E-02,  0.00000000E+00,  1.26000000E-02,  2.74000000E-02, -7.88415346E+00,  7.88389272E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00, -1.93089864E-01,  1.93034424E-01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  2.17460332E+00,  2.17460318E-01,  1.42978681E-01,  4.59853949E-01,  4.59854013E-02,  7.24338037E-03,  2.15039482E-02,  2.01370296E+00,  1.99219901E+00,  1.41421356E+00,  0.00000000E+00,  1.41421356E+00,  4.54953656E-04,  2.20578541E-05,  2.20578541E-05,  1.99781520E+00,  2.00000000E-01,  0.00000000E+00,  1.99219027E-01,  3.14971466E-02,  3.14971466E-02,  3.14746092E-02,  1.99926605E+00,  2.20578541E-05,  3.83874367E-03,  1.00781250E-01,  2.00000000E-01,  1.99218500E-01,  3.14999966E-02,  3.14971466E-02,  3.15240018E-02,       5,       0,  1.55831217E-02,  6.68479701E-02,  1.53991449E-04,  6.96529445E-05,  5.13452115E-07, 1575840
  1.77530487E-03,      89,  2.00474057E-05,  2.11025323E-05,  2.84814593E-04,  1.02602089E-04,  0.00000000E+00,  2.25104689E-05,  0.00000000E+00, -1.06060440E+00, -3.74954442E-02, -7.89576588E-02,  1.91284314E-02,  7.40432466E+00,  3.74954442E-02,  5.40516931E-02,  7.40432466E+00,  1.48715372E+01,  1.30216868E-08,  4.00000000E-02,  0.00000000E+00,  1.25999999E-02,  2.74000001E-02, -7.87864430E+00,  7.87825577E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00, -1.93748874E-01,  1.93689549E-01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  2.17460345E+00,  2.17460319E-01,  1.42978681E-01,  4.59853890E-01,  4.59854012E-02,  7.24338033E-03,  2.15043619E-02,  2.01370296E+00,  1.99219860E+00,  1.41421356E+00,  0.00000000E+00,  1.41421356E+00,  4.54953661E-04,  2.09382767E-05,  2.09382767E-05,  1.99897935E+00,  2.00000000E-01,  0.00000000E+00,  1.99219129E-01,  3.14864498E-02,  3.14864498E-02,  3.14528121E-02,  1.99926592E+00,  2.09382767E-05,  4.50738961E-03,  1.00781250E-01,  2.00000000E-01,  1.99218489E-01,  3.14999874E-02,  3.14864498E-02,  3.15444546E-02,       6,       0,  2.62647198E-02,  7.27768310E-02,  7.55261919E-05,  6.95752630E-05,  6.14654807E-07, 1575840
  2.37658959E-03,     119,  2.00385395E-05,  2.10931995E-05,  2.95281813E-04,  1.02602089E-04,  0.00000000E+00,  2.25223553E-05,  0.00000000E+00, -9.19909580E-01, -3.97254078E-02, -8.57859796E-02,  6.68392830E-03,  7.40760074E+00,  3.97254078E-02,  5.03834141E-02,  7.40760074E+00,  1.48623994E+01,  1.14118226E-08,  4.00000000E-02,  0.00000000E+00,  1.25999999E-02,  2.74000001E-02, -7.87375832E+00,  7.87329270E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00, -1.94271879E-01,  1.94221539E-01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  2.17460359E+00,  2.17460320E-01,  1.42978682E-01,  4.59853829E-01,  4.59854010E-02,  7.24338029E-03,  2.15017965E-02,  2.01370297E+00,  1.99220117E+00,  1.41421356E+00,  0.00000000E+00,  1.41421356E+00,  4.54953670E-04,  1.98706676E-05,  1.98706676E-05,  1.99884007E+00,  0.00000000E+00,  0.00000000E+00,  7.80850823E-04,  3.14717449E-02,  3.14717449E-02,  3.14285415E-02,  1.99926575E+00,  1.98706676E-05,  4.95605677E-03,  9.92187500E-02,  2.00000000E-01,  1.99218487E-01,  3.14999711E-02,  3.14717449E-02,  3.15626689E-02,       5,       0,  1.57588610E-02,  6.34432806E-02,  2.81732045E-04,  6.95081515E-05,  7.92662546E-07, 1575840
  2.97760847E-03,     149,  2.00296826E-05,  2.10838765E-05,  3.05281241E-04,  1.02602089E-04,  0.00000000E+00,  2.25308167E-05,  0.00000000E+00, -7.99222953E-01, -3.89856797E-02, -8.39690423E-02,  2.71767953E-03,  7.41087628E+00,  3.89856797E-02,  5.06025038E-02,  7.41087628E+00,  1.48550605E+01,  1.26224649E-08,  4.00000000E-02,  0.00000000E+00,  1.25999999E-02,  2.74000001E-02, -7.86942919E+00,  7.86893617E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00, -1.94701355E-01,  1.94664082E-01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  2.17460372E+00,  2.17460320E-01,  1.42978682E-01,  4.59853771E-01,  4.59854010E-02,  7.24338027E-03,  2.14980273E-02,  2.01370296E+00,  1.99220493E+00,  1.41421356E+00,  0.00000000E+00,  1.41421356E+00,  4.54953680E-04,  1.89341148E-05,  1.89341148E-05,  1.99875783E+00,  2.00000000E-01,  0.00000000E+00,  7.80857259E-04,  3.14564402E-02,  3.14564402E-02,  3.14143609E-02,  1.99926556E+00,  1.89341148E-05,  6.73791172E-03,  1.00781250E-01,  2.00000000E-01,  1.99218517E-01,  3.14999473E-02,  3.14564402E-02,  3.15726222E-02,       6,       0,  2.72237489E-02,  7.02384179E-02,  7.44513752E-05,  6.94516681E-05,  1.06371078E-06, 1575840
  3.57836179E-03,     179,  2.00208349E-05,  2.10745631E-05,  3.15367734E-04,  1.02602089E-04,  0.00000000E+00,  2.25363161E-05,  0.00000000E+00, -6.96429624E-01, -4.01124716E-02, -7.91040985E-02,  2.97501466E-02,  7.41415134E+00,  4.01124716E-02,  4.96754905E-02,  7.41415134E+00,  1.48489891E+01,  1.25309363E-08,  4.00000000E-02,  0.00000000E+00,  1.25999999E-02,  2.74000001E-02, -7.86558947E+00,  7.86509483E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00, -1.95067158E-01,  1.95040884E-01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  2.17460384E+00,  2.17460320E-01,  1.42978682E-01,  4.59853714E-01,  4.59854010E-02,  7.24338027E-03,  2.14944249E-02,  2.01370293E+00,  1.99220851E+00,  1.41421356E+00,  0.00000000E+00,  1.41421356E+00,  4.54953689E-04,  1.81419648E-05,  1.81419648E-05,  4.44685487E-05,  2.00000000E-01,  0.00000000E+00,  1.99219011E-01,  3.14429760E-02,  3.14429760E-02,  3.14009322E-02,  1.99926533E+00,  1.81419648E-05,  6.73758696E-03,  1.00781250E-01,  2.00000000E-01,  1.99218497E-01,  3.14999159E-02,  3.14429760E-02,  3.15832240E-02,       6,       0,  2.25924471E-02,  6.73275338E-02,  2.18855727E-05,  6.94043242E-05,  1.17827492E-06, 1575840
  4.17884981E-03,     209,  2.00119961E-05,  2.10652591E-05,  3.25670587E-04,  1.02602089E-04,  0.00000000E+00,  2.25393877E-05,  0.00000000E+00, -6.09067251E-01, -4.00330406E-02, -7.46388538E-02,  5.67821785E-02,  7.41742598E+00,  4.00330406E-02,  5.02783653E-02,  7.41742598E+00,  1.48438535E+01,  1.25477477E-08,  4.00000000E-02,  0.00000000E+00,  1.25999999E-02,  2.74000001E-02, -7.86214369E+00,  7.86165630E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00, -1.95387779E-01,  1.95370205E-01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  2.17460397E+00,  2.17460320E-01,  1.42978682E-01,  4.59853657E-01,  4.59854009E-02,  7.24338025E-03,  2.14884107E-02,  2.01370290E+00,  1.99221449E+00,  1.41421356E+00,  0.00000000E+00,  1.41421356E+00,  4.54953699E-04,  1.75085086E-05,  1.75085086E-05,  4.36666789E-05,  2.00000000E-01,  0.00000000E+00,  7.80980652E-04,  3.14320648E-02,  3.14320648E-02,  3.13939642E-02,  1.99926507E+00,  1.75085086E-05,  8.69683046E-03,  9.92187500E-02,  2.00000000E-01,  1.99218554E-01,  3.14998776E-02,  3.14320648E-02,  3.15933992E-02,       6,       0,  2.40874364E-02,  7.21785558E-02,  2.57139955E-05,  6.93644557E-05,  9.79175699E-07, 1575840
  4.77907281E-03,     239,  2.00031662E-05,  2.10559644E-05,  3.36011583E-04,  1.02602089E-04,  0.00000000E+00,  2.25404861E-05,  0.00000000E+00, -5.34669661E-01, -3.88523222E-02, -7.10184133E-02,  2.73865928E-02,  7.42070022E+00,  3.88523222E-02,  5.19227556E-02,  7.42070022E+00,  1.48394331E+01,  1.14826051E-08,  4.00000000E-02,  0.00000000E+00,  1.25999999E-02,  2.74000001E-02, -7.85900698E+00,  7.85853108E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00, -1.95674611E-01,  1.95664623E-01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  2.17460409E+00,  2.17460321E-01,  1.42978682E-01,  4.59853600E-01,  4.59854008E-02,  7.24338023E-03,  2.14895867E-02,  2.01370287E+00,  1.99221328E+00,  1.41421356E+00,  0.00000000E+00,  1.41421356E+00,  4.54953712E-04,  1.69995578E-05,  1.69995578E-05,  4.29246329E-05,  2.00000000E-01,  0.00000000E+00,  7.80974255E-04,  3.14232762E-02,  3.14232762E-02,  3.13908171E-02,  1.99926478E+00,  1.69995578E-05,  8.96989073E-03,  9.92187500E-02,  2.00000000E-01,  1.99148671E-01,  3.14998331E-02,  3.14232762E-02,  3.16060757E-02,       6,       0,  2.42358789E-02,  6.76902248E-02,  2.56324168E-05,  6.93306538E-05,  9.26151992E-07, 1575840
  5.37903105E-03,     269,  1.99943451E-05,  2.10466791E-05,  3.46300195E-04,  1.02602089E-04,  0.00000000E+00,  2.25399753E-05,  0.00000000E+00, -4.71088408E-01, -3.71900948E-02, -6.84785868E-02,  2.33983577E-03,  7.42397409E+00,  3.71900948E-02,  5.33705314E-02,  7.42397409E+00,  1.48355750E+01,  1.15510659E-08,  4.00000000E-02,  0.00000000E+00,  1.25999999E-02,  2.74000001E-02, -7.85612555E+00,  7.85566042E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00, -1.95938156E-01,  1.95931074E-01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  2.17460422E+00,  2.17460321E-01,  1.42978683E-01,  4.59853543E-01,  4.59854008E-02,  7.24338022E-03,  2.14867784E-02,  2.01370285E+00,  1.99221607E+00,  1.41421356E+00,  0.00000000E+00,  1.41421356E+00,  4.54953727E-04,  1.65659309E-05,  1.65659309E-05,  4.23234686E-05,  2.00000000E-01,  0.00000000E+00,  7.80965937E-04,  3.14158165E-02,  3.14158165E-02,  3.13886284E-02,  1.99926447E+00,  1.65659309E-05,  9.13653827E-03,  9.92187500E-02,  2.00000000E-01,  1.99218525E-01,  3.14997832E-02,  3.14158165E-02,  3.16115313E-02,       6,       0,  2.59723995E-02,  7.11566946E-02,  4.13510657E-05,  6.93017998E-05,  1.04821772E-06, 1575840
  5.97872479E-03,     299,  1.99855327E-05,  2.10374029E-05,  3.56477832E-04,  1.02602089E-04,  0.00000000E+00,  2.25381427E-05,  0.00000000E+00, -4.16494008E-01, -3.79213672E-02, -6.69414661E-02,  3.14047256E-03,  7.42724759E+00,  3.79213672E-02,  5.45093871E-02,  7.42724759E+00,  1.48321686E+01,  1.14603509E-08,  4.00000000E-02,  0.00000000E+00,  1.25999999E-02,  2.74000001E-02, -7.85346320E+00,  7.85300657E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00, -1.96182799E-01,  1.96174555E-01,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  0.00000000E+00,  2.17460433E+00,  2.17460320E-01,  1.42978682E-01,  4.59853489E-01,  4.59854008E-02,  7.24338024E-03,  2.14816935E-02,  2.01370284E+00,  1.99222114E+00,  1.41421356E+00,  0.00000000E+00,  1.41421356E+00,  4.54953739E-04,  1.61776333E-05,  1.61776333E-05,  4.18537595E-05,  2.00000000E-01,  0.00000000E+00,  7.80957066E-04,  3.14090968E-02,  3.14090968E-02,  3.13861688E-02,  1.99926413E+00,  1.61776333E-05,  9.14923542E-03,  1.00781250E-01,  2.00000000E-01,  1.99218506E-01,  3.14997286E-02,  3.14090968E-02,  3.16093116E-02,       6,       0,  2.86920597E-02,  7.56125741E-02,  7.53075454E-05,  6.92770114E-05,  1.35595995E-06, 1575840
